3.3 (1e-3, 1.77) | 1.42843045 2.40671923 1.04328534 1.66459076 1.07431243 0.39322256 1.40118198 0.67785380 0.81019528 1.81901502 1.75696816
4.3 (1e-3, 17.7) | 1.53588309 1.60195619 1.45838392 1.07391053 1.66247518 0.99106279 0.95559745 0.07029141 0.63254449 2.45271589 1.62696412
5.1 (1e-3, 3.16) | 2.17897187 1.31185205 1.52952398 0.74881908 1.25116864 0.79710450 0.86610745 0.08345601 0.95057327 2.29787210 1.72592245
6.1 (1e-3, 31.6) | 1.60890194 1.34458711 0.74686740 0.47196215 1.91869257 0.69350639 1.36427910 0.00000000 0.1735956  1.45364854 0.92528809
6.2 (1e-3, 3.16) | 1.67028356 0.97214882 1.06308938 0.64007002 1.52413557 0.74776395 0.80371017 0.00000000 0.66434879 1.80120867 1.59189073
6.9 (1e-3, 17.8) | 2.14728483 2.28962866 1.44501564 0.9286453  2.18371581 0.91208331 1.40138449 0.49822345 1.12632534 2.39015294 1.07851795
Aug_NS (1e-3, 10.0) | 1.26179558 1.05450580 1.00110838 0.60071694 1.82304804 0.71825063 1.12720589 0.00000000 0.5136994  1.26418119 1.67260189
Aug_SV (1e-3, 3.16) | 1.80293703 1.53438849 1.54282600 1.00441645 1.12571071 0.76664397 0.85700060 0.06691765 0.61958216 2.41483819 1.36047212
Aug_US (1e-3, 3.16) | 1.49915910 0.94536431 1.38208850 0.77444562 1.04820938 0.72605077 0.86716274 0.16806620 0.96039739 1.87740560 1.69316453
