340386 function calls (338531 primitive calls) in 434.562 seconds

  Ordered by: internal time

  ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     371    0.001    0.000    0.017    0.000 casadi.py:7177(T)
    1113    0.001    0.000    0.001    0.000 casadi.py:4164(size2)
     742    0.001    0.000    0.001    0.000 shape_base.py:209(_arrays_for_stack_dispatcher)
    2226    0.001    0.000    0.001    0.000 {built-in method builtins.callable}
     371    0.000    0.000    0.001    0.000 casadi.py:146(IM_from_array)
    2226    0.000    0.000    0.000    0.000 base.py:1395(nlevels)
     341    0.000    0.000    0.000    0.000 fromnumeric.py:70(<dictcomp>)
    1113    0.000    0.000    0.000    0.000 {built-in method casadi._casadi.GenDM_size2}
     371    0.000    0.000    0.002    0.000 casadi.py:6909(elements)
     339    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
     341    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
       1    0.000    0.000  434.562  434.562 {built-in method builtins.exec}
       1    0.000    0.000  434.562  434.562 _minimize.py:42(minimize)
       1    0.000    0.000    0.000    0.000 linalg.py:2293(norm)
       1    0.000    0.000    0.000    0.000 twodim_base.py:154(eye)
       1    0.000    0.000  434.562  434.562 <string>:1(<module>)
       2    0.000    0.000    0.000    0.000 six.py:130(callable)
       1    0.000    0.000  434.562  434.562 fitter.py:196(wrapd_fn)
       1    0.000    0.000    0.000    0.000 {method 'flatten' of 'numpy.ndarray' objects}
       1    0.000    0.000    0.000    0.000 _minimize.py:800(standardize_constraints)
       3    0.000    0.000    0.000    0.000 numeric.py:469(asarray)
       1    0.000    0.000    0.000    0.000 {method 'ravel' of 'numpy.ndarray' objects}
       1    0.000    0.000    0.000    0.000 fromnumeric.py:2083(any)
       5    0.000    0.000    0.000    0.000 six.py:131(<genexpr>)
       2    0.000    0.000    0.000    0.000 optimize.py:293(wrap_function)
       2    0.000    0.000    0.000    0.000 {built-in method builtins.any}
       1    0.000    0.000    0.000    0.000 linalg.py:121(isComplexType)
       1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
       1    0.000    0.000    0.000    0.000 optimize.py:137(_check_unknown_options)
       1    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
